eval_id,rater_id,rater_position,rating,response_length,query_complexity,domain,true_quality,difficulty
20,12,2,1,short,moderate,creative,1,1
20,10,3,2,short,moderate,creative,1,1
21,12,1,5,long,simple,technical,5,1
21,2,2,5,long,simple,technical,5,1
21,13,3,5,long,simple,technical,5,1
22,7,1,4,medium,moderate,technical,5,1
22,4,2,5,medium,moderate,technical,5,1
22,2,3,5,medium,moderate,technical,5,1
23,14,1,2,long,moderate,technical,1,1
23,15,2,1,long,moderate,technical,1,1
23,1,3,2,long,moderate,technical,1,1
24,9,1,3,long,moderate,factual,2,1
24,2,2,2,long,moderate,factual,2,1
24,11,3,2,long,moderate,factual,2,1
25,1,1,4,medium,moderate,creative,3,1
25,15,2,3,medium,moderate,creative,3,1
25,11,3,2,medium,moderate,creative,3,1
26,15,1,1,short,moderate,opinion,1,2
26,13,2,2,short,moderate,opinion,1,2
26,2,3,1,short,moderate,opinion,1,2
27,12,1,4,medium,moderate,factual,3,1
27,14,2,2,medium,moderate,factual,3,1
27,1,3,2,medium,moderate,factual,3,1
28,3,1,1,long,moderate,technical,1,1
28,6,2,1,long,moderate,technical,1,1
28,2,3,2,long,moderate,technical,1,1
29,5,1,3,medium,simple,opinion,2,2
29,15,2,1,medium,simple,opinion,2,2
29,8,3,3,medium,simple,opinion,2,2
30,10,1,5,long,simple,creative,5,1
30,15,2,5,long,simple,creative,5,1
30,4,3,4,long,simple,creative,5,1
31,2,1,5,short,simple,factual,5,1
31,4,2,5,short,simple,factual,5,1
31,15,3,4,short,simple,factual,5,1
32,9,1,1,long,moderate,factual,1,1
32,2,2,1,long,moderate,factual,1,1
32,7,3,1,long,moderate,factual,1,1
33,3,1,1,medium,moderate,factual,1,1
33,8,2,1,medium,moderate,factual,1,1
33,7,3,1,medium,moderate,factual,1,1
34,8,1,2,short,moderate,factual,4,1
34,5,2,4,short,moderate,factual,4,1
34,2,3,5,short,moderate,factual,4,1
35,12,1,1,medium,moderate,factual,1,1
35,1,2,1,medium,moderate,factual,1,1
35,4,3,1,medium,moderate,factual,1,1
36,12,1,3,long,complex,factual,3,2
36,4,2,2,long,complex,factual,3,2
36,15,3,4,long,complex,factual,3,2
37,8,1,5,medium,simple,technical,5,1
37,15,2,5,medium,simple,technical,5,1
37,5,3,5,medium,simple,technical,5,1
38,13,1,4,medium,complex,factual,3,2
38,11,2,5,medium,complex,factual,3,2
38,5,3,3,medium,complex,factual,3,2
39,12,1,4,long,moderate,technical,4,1
39,9,2,4,long,moderate,technical,4,1
39,6,3,3,long,moderate,technical,4,1
40,11,1,4,short,moderate,factual,4,1
40,8,2,4,short,moderate,factual,4,1
40,7,3,3,short,moderate,factual,4,1
41,6,1,3,medium,simple,creative,4,1
41,10,2,5,medium,simple,creative,4,1
41,1,3,3,medium,simple,creative,4,1
42,14,1,1,medium,moderate,factual,1,1
42,10,2,2,medium,moderate,factual,1,1
42,4,3,1,medium,moderate,factual,1,1
43,4,1,3,medium,moderate,technical,3,1
43,2,2,3,medium,moderate,technical,3,1
43,8,3,3,medium,moderate,technical,3,1
44,14,1,5,long,complex,opinion,4,3
44,8,2,2,long,complex,opinion,4,3
44,11,3,5,long,complex,opinion,4,3
45,7,1,4,medium,complex,creative,4,2
45,6,2,2,medium,complex,creative,4,2
45,2,3,3,medium,complex,creative,4,2
46,12,1,5,long,moderate,opinion,4,2
46,11,2,4,long,moderate,opinion,4,2
46,8,3,4,long,moderate,opinion,4,2
47,2,1,3,long,complex,creative,2,2
47,8,2,2,long,complex,creative,2,2
47,13,3,2,long,complex,creative,2,2
48,11,1,4,short,simple,factual,4,1
48,14,2,4,short,simple,factual,4,1
48,12,3,3,short,simple,factual,4,1
49,4,1,5,long,simple,technical,5,1
49,3,2,5,long,simple,technical,5,1
49,7,3,5,long,simple,technical,5,1
50,12,1,5,short,moderate,technical,5,1
50,10,2,5,short,moderate,technical,5,1
50,15,3,5,short,moderate,technical,5,1
51,5,1,3,medium,simple,opinion,4,2
51,9,2,4,medium,simple,opinion,4,2
51,1,3,3,medium,simple,opinion,4,2
52,2,1,4,medium,moderate,opinion,2,2
52,3,2,1,medium,moderate,opinion,2,2
52,7,3,3,medium,moderate,opinion,2,2
53,5,1,1,medium,moderate,factual,2,1
53,15,2,2,medium,moderate,factual,2,1
53,8,3,2,medium,moderate,factual,2,1
54,14,1,3,short,complex,opinion,2,3
54,12,2,2,short,complex,opinion,2,3
54,13,3,4,short,complex,opinion,2,3
55,12,1,4,medium,moderate,opinion,5,2
55,13,2,5,medium,moderate,opinion,5,2
55,14,3,5,medium,moderate,opinion,5,2
56,10,1,5,short,simple,opinion,5,2
56,12,2,5,short,simple,opinion,5,2
56,6,3,4,short,simple,opinion,5,2
57,10,1,5,short,complex,factual,4,2
57,8,2,3,short,complex,factual,4,2
57,13,3,3,short,complex,factual,4,2
58,11,1,5,medium,complex,opinion,5,3
58,13,2,4,medium,complex,opinion,5,3
58,10,3,5,medium,complex,opinion,5,3
59,3,1,2,medium,moderate,factual,1,1
59,15,2,1,medium,moderate,factual,1,1
59,12,3,1,medium,moderate,factual,1,1
60,6,1,3,short,moderate,technical,5,1
60,13,2,5,short,moderate,technical,5,1
60,12,3,5,short,moderate,technical,5,1
61,13,1,5,short,moderate,opinion,5,2
61,12,2,5,short,moderate,opinion,5,2
61,7,3,4,short,moderate,opinion,5,2
62,2,1,1,long,simple,factual,2,1
62,4,2,2,long,simple,factual,2,1
62,8,3,3,long,simple,factual,2,1
63,4,1,1,short,moderate,technical,1,1
63,15,2,1,short,moderate,technical,1,1
63,6,3,1,short,moderate,technical,1,1
64,5,1,3,short,moderate,technical,3,1
64,15,2,3,short,moderate,technical,3,1
64,12,3,1,short,moderate,technical,3,1
65,15,1,4,long,moderate,opinion,4,2
65,9,2,3,long,moderate,opinion,4,2
65,14,3,3,long,moderate,opinion,4,2
66,7,1,2,medium,complex,creative,2,2
66,2,2,3,medium,complex,creative,2,2
66,4,3,2,medium,complex,creative,2,2
67,14,1,3,medium,simple,technical,3,1
67,9,2,2,medium,simple,technical,3,1
67,12,3,3,medium,simple,technical,3,1
68,10,1,5,long,moderate,factual,5,1
68,6,2,4,long,moderate,factual,5,1
68,4,3,4,long,moderate,factual,5,1
69,7,1,1,short,moderate,factual,2,1
69,15,2,3,short,moderate,factual,2,1
69,12,3,2,short,moderate,factual,2,1
70,5,1,2,medium,complex,creative,3,2
70,12,2,2,medium,complex,creative,3,2
70,4,3,3,medium,complex,creative,3,2
71,14,1,4,medium,complex,technical,4,2
71,15,2,2,medium,complex,technical,4,2
71,12,3,5,medium,complex,technical,4,2
72,2,1,4,medium,moderate,opinion,4,2
72,6,2,4,medium,moderate,opinion,4,2
72,9,3,4,medium,moderate,opinion,4,2
73,6,1,1,medium,moderate,creative,2,1
73,14,2,2,medium,moderate,creative,2,1
73,8,3,1,medium,moderate,creative,2,1
74,12,1,4,medium,simple,technical,3,1
74,9,2,3,medium,simple,technical,3,1
74,4,3,3,medium,simple,technical,3,1
75,4,1,1,medium,moderate,technical,1,1
75,14,2,1,medium,moderate,technical,1,1
75,5,3,2,medium,moderate,technical,1,1
76,8,1,2,short,complex,technical,3,2
76,3,2,5,short,complex,technical,3,2
76,4,3,4,short,complex,technical,3,2
77,1,1,1,medium,simple,factual,1,1
77,9,2,2,medium,simple,factual,1,1
77,12,3,1,medium,simple,factual,1,1
78,10,1,3,medium,moderate,creative,4,1
78,12,2,4,medium,moderate,creative,4,1
78,1,3,5,medium,moderate,creative,4,1
79,5,1,4,short,moderate,factual,5,1
79,15,2,5,short,moderate,factual,5,1
79,10,3,5,short,moderate,factual,5,1
80,10,1,5,medium,moderate,technical,5,1
80,7,2,5,medium,moderate,technical,5,1
80,14,3,5,medium,moderate,technical,5,1
81,5,1,5,short,moderate,factual,5,1
81,3,2,5,short,moderate,factual,5,1
81,15,3,5,short,moderate,factual,5,1
82,2,1,5,medium,simple,factual,5,1
82,15,2,4,medium,simple,factual,5,1
82,11,3,5,medium,simple,factual,5,1
83,3,1,4,medium,moderate,factual,5,1
83,13,2,5,medium,moderate,factual,5,1
83,5,3,5,medium,moderate,factual,5,1
84,8,1,5,short,complex,opinion,4,3
84,3,2,4,short,complex,opinion,4,3
84,7,3,2,short,complex,opinion,4,3
85,14,1,2,short,complex,factual,2,2
85,12,2,1,short,complex,factual,2,2
85,9,3,2,short,complex,factual,2,2
86,15,1,5,short,moderate,factual,5,1
86,12,2,5,short,moderate,factual,5,1
86,2,3,5,short,moderate,factual,5,1
87,15,1,1,medium,simple,factual,1,1
87,10,2,1,medium,simple,factual,1,1
87,5,3,2,medium,simple,factual,1,1
88,4,1,3,medium,complex,factual,2,2
88,10,2,5,medium,complex,factual,2,2
88,3,3,1,medium,complex,factual,2,2
89,13,1,3,medium,complex,opinion,2,3
89,9,2,2,medium,complex,opinion,2,3
89,2,3,2,medium,complex,opinion,2,3
90,5,1,1,medium,moderate,factual,1,1
90,9,2,2,medium,moderate,factual,1,1
90,12,3,1,medium,moderate,factual,1,1
91,2,1,4,short,simple,opinion,4,2
91,12,2,3,short,simple,opinion,4,2
91,15,3,4,short,simple,opinion,4,2
92,12,1,1,medium,moderate,opinion,2,2
92,5,2,5,medium,moderate,opinion,2,2
92,6,3,2,medium,moderate,opinion,2,2
93,15,1,1,medium,simple,technical,2,1
93,10,2,1,medium,simple,technical,2,1
93,6,3,2,medium,simple,technical,2,1
94,12,1,5,long,complex,technical,5,2
94,3,2,5,long,complex,technical,5,2
94,9,3,3,long,complex,technical,5,2
95,12,1,5,long,moderate,factual,5,1
95,5,2,5,long,moderate,factual,5,1
95,11,3,5,long,moderate,factual,5,1
96,12,1,1,short,complex,opinion,1,3
96,10,2,2,short,complex,opinion,1,3
96,9,3,2,short,complex,opinion,1,3
97,9,1,3,medium,complex,factual,2,2
97,7,2,2,medium,complex,factual,2,2
97,10,3,1,medium,complex,factual,2,2
98,6,1,4,short,moderate,factual,4,1
98,2,2,4,short,moderate,factual,4,1
98,5,3,3,short,moderate,factual,4,1
99,12,1,4,short,simple,opinion,5,2
99,11,2,4,short,simple,opinion,5,2
99,2,3,5,short,simple,opinion,5,2
100,2,1,3,short,complex,technical,1,2
100,7,2,1,short,complex,technical,1,2
100,11,3,1,short,complex,technical,1,2
101,7,1,1,short,moderate,technical,1,1
101,10,2,1,short,moderate,technical,1,1
101,5,3,2,short,moderate,technical,1,1
102,2,1,5,medium,complex,technical,5,2
102,3,2,5,medium,complex,technical,5,2
102,12,3,4,medium,complex,technical,5,2
103,5,1,1,medium,complex,opinion,3,3
103,8,2,5,medium,complex,opinion,3,3
103,3,3,5,medium,complex,opinion,3,3
104,12,1,3,medium,moderate,opinion,2,2
104,5,2,3,medium,moderate,opinion,2,2
104,1,3,4,medium,moderate,opinion,2,2
105,6,1,1,long,moderate,technical,1,1
105,10,2,1,long,moderate,technical,1,1
105,11,3,1,long,moderate,technical,1,1
106,5,1,3,long,complex,factual,4,2
106,9,2,5,long,complex,factual,4,2
106,2,3,4,long,complex,factual,4,2
107,11,1,1,short,simple,opinion,2,2
107,10,2,2,short,simple,opinion,2,2
107,2,3,1,short,simple,opinion,2,2
108,12,1,4,short,moderate,creative,4,1
108,7,2,4,short,moderate,creative,4,1
108,1,3,4,short,moderate,creative,4,1
109,10,1,3,short,simple,opinion,2,2
109,3,2,1,short,simple,opinion,2,2
109,14,3,1,short,simple,opinion,2,2
110,13,1,1,medium,simple,technical,1,1
110,11,2,1,medium,simple,technical,1,1
110,6,3,1,medium,simple,technical,1,1
111,14,1,5,short,complex,opinion,5,3
111,12,2,4,short,complex,opinion,5,3
111,13,3,4,short,complex,opinion,5,3
112,6,1,1,long,moderate,creative,3,1
112,12,2,3,long,moderate,creative,3,1
112,1,3,2,long,moderate,creative,3,1
113,5,1,4,short,simple,opinion,4,2
113,8,2,4,short,simple,opinion,4,2
113,4,3,3,short,simple,opinion,4,2
114,14,1,4,medium,complex,creative,2,2
114,3,2,1,medium,complex,creative,2,2
114,8,3,3,medium,complex,creative,2,2
115,7,1,1,short,moderate,creative,1,1
115,12,2,1,short,moderate,creative,1,1
115,14,3,1,short,moderate,creative,1,1
116,13,1,5,short,moderate,opinion,5,2
116,8,2,5,short,moderate,opinion,5,2
116,6,3,5,short,moderate,opinion,5,2
117,9,1,4,medium,simple,factual,3,1
117,7,2,1,medium,simple,factual,3,1
117,13,3,2,medium,simple,factual,3,1
118,10,1,4,medium,simple,factual,4,1
118,13,2,4,medium,simple,factual,4,1
118,2,3,5,medium,simple,factual,4,1
119,3,1,5,short,moderate,creative,5,1
119,1,2,5,short,moderate,creative,5,1
119,6,3,4,short,moderate,creative,5,1
120,5,1,3,long,simple,technical,4,1
120,11,2,4,long,simple,technical,4,1
120,13,3,5,long,simple,technical,4,1
121,13,1,3,medium,complex,technical,2,2
121,3,2,3,medium,complex,technical,2,2
121,6,3,3,medium,complex,technical,2,2
122,4,1,4,medium,simple,technical,5,1
122,11,2,5,medium,simple,technical,5,1
122,10,3,5,medium,simple,technical,5,1
123,2,1,2,short,complex,technical,4,2
123,12,2,3,short,complex,technical,4,2
123,9,3,2,short,complex,technical,4,2
124,8,1,4,short,moderate,creative,4,1
124,15,2,4,short,moderate,creative,4,1
124,7,3,2,short,moderate,creative,4,1
125,3,1,5,short,simple,technical,4,1
125,12,2,4,short,simple,technical,4,1
125,2,3,5,short,simple,technical,4,1
126,1,1,4,medium,simple,creative,3,1
126,15,2,3,medium,simple,creative,3,1
126,12,3,2,medium,simple,creative,3,1
127,4,1,3,long,complex,technical,3,2
127,1,2,4,long,complex,technical,3,2
127,14,3,4,long,complex,technical,3,2
128,10,1,5,long,simple,technical,4,1
128,8,2,3,long,simple,technical,4,1
128,1,3,5,long,simple,technical,4,1
129,2,1,5,medium,moderate,factual,5,1
129,6,2,4,medium,moderate,factual,5,1
129,11,3,5,medium,moderate,factual,5,1
130,3,1,5,short,moderate,technical,5,1
130,1,2,4,short,moderate,technical,5,1
130,10,3,5,short,moderate,technical,5,1
131,4,1,3,long,moderate,technical,2,1
131,8,2,3,long,moderate,technical,2,1
131,15,3,2,long,moderate,technical,2,1
132,10,1,2,short,complex,factual,1,2
132,8,2,3,short,complex,factual,1,2
132,9,3,1,short,complex,factual,1,2
133,11,1,4,short,complex,technical,4,2
133,7,2,4,short,complex,technical,4,2
133,1,3,3,short,complex,technical,4,2
134,12,1,2,long,moderate,creative,3,1
134,5,2,3,long,moderate,creative,3,1
134,4,3,3,long,moderate,creative,3,1
135,1,1,2,long,moderate,factual,1,1
135,12,2,1,long,moderate,factual,1,1
135,5,3,1,long,moderate,factual,1,1
136,8,1,1,short,complex,opinion,2,3
136,6,2,2,short,complex,opinion,2,3
136,2,3,2,short,complex,opinion,2,3
137,5,1,5,long,moderate,opinion,5,2
137,4,2,4,long,moderate,opinion,5,2
137,12,3,5,long,moderate,opinion,5,2
138,7,1,5,medium,moderate,creative,5,1
138,13,2,5,medium,moderate,creative,5,1
138,8,3,4,medium,moderate,creative,5,1
139,14,1,4,short,moderate,factual,4,1
139,6,2,4,short,moderate,factual,4,1
139,4,3,4,short,moderate,factual,4,1
140,10,1,5,short,complex,factual,5,2
140,5,2,4,short,complex,factual,5,2
140,11,3,4,short,complex,factual,5,2
141,13,1,5,medium,moderate,creative,5,1
141,3,2,5,medium,moderate,creative,5,1
141,9,3,5,medium,moderate,creative,5,1
142,12,1,1,medium,simple,opinion,1,2
142,7,2,1,medium,simple,opinion,1,2
142,13,3,2,medium,simple,opinion,1,2
143,11,1,5,medium,moderate,opinion,5,2
143,3,2,5,medium,moderate,opinion,5,2
143,4,3,5,medium,moderate,opinion,5,2
144,2,1,1,short,complex,technical,1,2
144,3,2,3,short,complex,technical,1,2
144,15,3,1,short,complex,technical,1,2
145,14,1,5,short,moderate,factual,4,1
145,2,2,5,short,moderate,factual,4,1
145,3,3,5,short,moderate,factual,4,1
146,8,1,1,long,moderate,creative,1,1
146,9,2,1,long,moderate,creative,1,1
146,12,3,1,long,moderate,creative,1,1
147,13,1,4,medium,moderate,technical,4,1
147,1,2,4,medium,moderate,technical,4,1
147,14,3,4,medium,moderate,technical,4,1
148,7,1,1,long,moderate,creative,2,1
148,1,2,2,long,moderate,creative,2,1
148,11,3,1,long,moderate,creative,2,1
149,5,1,4,medium,moderate,opinion,5,2
149,13,2,5,medium,moderate,opinion,5,2
149,8,3,5,medium,moderate,opinion,5,2
150,14,1,5,medium,moderate,factual,5,1
150,10,2,5,medium,moderate,factual,5,1
150,8,3,5,medium,moderate,factual,5,1
151,10,1,2,short,simple,creative,1,1
151,1,2,1,short,simple,creative,1,1
151,15,3,2,short,simple,creative,1,1
152,7,1,4,medium,moderate,opinion,4,2
152,2,2,4,medium,moderate,opinion,4,2
152,6,3,3,medium,moderate,opinion,4,2
153,9,1,3,short,simple,technical,3,1
153,3,2,3,short,simple,technical,3,1
153,5,3,4,short,simple,technical,3,1
154,1,1,2,medium,simple,factual,3,1
154,11,2,3,medium,simple,factual,3,1
154,15,3,4,medium,simple,factual,3,1
155,14,1,1,short,complex,factual,1,2
155,15,2,1,short,complex,factual,1,2
155,5,3,1,short,complex,factual,1,2
156,7,1,1,short,simple,opinion,3,2
156,12,2,2,short,simple,opinion,3,2
156,3,3,3,short,simple,opinion,3,2
157,9,1,5,medium,moderate,factual,5,1
157,13,2,5,medium,moderate,factual,5,1
157,1,3,5,medium,moderate,factual,5,1
158,14,1,5,medium,complex,factual,4,2
158,6,2,5,medium,complex,factual,4,2
158,2,3,4,medium,complex,factual,4,2
159,5,1,1,medium,simple,factual,1,1
159,4,2,1,medium,simple,factual,1,1
159,6,3,1,medium,simple,factual,1,1
160,3,1,2,short,moderate,creative,2,1
160,9,2,2,short,moderate,creative,2,1
160,4,3,2,short,moderate,creative,2,1
161,2,1,1,long,complex,opinion,1,3
161,15,2,1,long,complex,opinion,1,3
161,8,3,1,long,complex,opinion,1,3
162,10,1,5,short,moderate,creative,4,1
162,1,2,5,short,moderate,creative,4,1
162,5,3,4,short,moderate,creative,4,1
163,2,1,4,short,moderate,technical,5,1
163,12,2,5,short,moderate,technical,5,1
163,11,3,5,short,moderate,technical,5,1
164,1,1,4,medium,moderate,creative,4,1
164,3,2,4,medium,moderate,creative,4,1
164,8,3,3,medium,moderate,creative,4,1
165,6,1,1,short,moderate,factual,2,1
165,9,2,3,short,moderate,factual,2,1
165,5,3,2,short,moderate,factual,2,1
166,14,1,3,medium,moderate,technical,2,1
166,12,2,2,medium,moderate,technical,2,1
166,4,3,2,medium,moderate,technical,2,1
167,13,1,2,medium,moderate,factual,1,1
167,15,2,1,medium,moderate,factual,1,1
167,7,3,1,medium,moderate,factual,1,1
168,4,1,2,medium,moderate,opinion,1,2
168,13,2,2,medium,moderate,opinion,1,2
168,7,3,3,medium,moderate,opinion,1,2
169,11,1,5,medium,complex,technical,5,2
169,14,2,4,medium,complex,technical,5,2
169,7,3,5,medium,complex,technical,5,2
170,11,1,2,medium,moderate,factual,1,1
170,13,2,1,medium,moderate,factual,1,1
170,6,3,1,medium,moderate,factual,1,1
171,4,1,1,short,moderate,factual,1,1
171,1,2,1,short,moderate,factual,1,1
171,10,3,1,short,moderate,factual,1,1
172,2,1,4,medium,complex,factual,3,2
172,14,2,2,medium,complex,factual,3,2
172,10,3,3,medium,complex,factual,3,2
173,10,1,3,medium,simple,technical,2,1
173,2,2,1,medium,simple,technical,2,1
173,11,3,2,medium,simple,technical,2,1
174,8,1,1,medium,simple,opinion,1,2
174,15,2,1,medium,simple,opinion,1,2
174,11,3,1,medium,simple,opinion,1,2
175,9,1,2,medium,moderate,factual,2,1
175,5,2,2,medium,moderate,factual,2,1
175,2,3,3,medium,moderate,factual,2,1
176,15,1,4,medium,moderate,factual,4,1
176,6,2,3,medium,moderate,factual,4,1
176,4,3,4,medium,moderate,factual,4,1
177,12,1,3,long,moderate,factual,3,1
177,6,2,3,long,moderate,factual,3,1
177,14,3,4,long,moderate,factual,3,1
178,2,1,1,short,simple,factual,1,1
178,1,2,2,short,simple,factual,1,1
178,4,3,1,short,simple,factual,1,1
179,6,1,3,short,moderate,creative,4,1
179,1,2,5,short,moderate,creative,4,1
179,3,3,5,short,moderate,creative,4,1
180,4,1,4,short,simple,technical,4,1
180,9,2,3,short,simple,technical,4,1
180,11,3,5,short,simple,technical,4,1
181,13,1,5,long,moderate,factual,4,1
181,11,2,4,long,moderate,factual,4,1
181,5,3,2,long,moderate,factual,4,1
182,6,1,3,long,moderate,creative,3,1
182,8,2,3,long,moderate,creative,3,1
182,5,3,3,long,moderate,creative,3,1
183,3,1,2,medium,complex,technical,1,2
183,8,2,1,medium,complex,technical,1,2
183,5,3,1,medium,complex,technical,1,2
184,6,1,2,medium,moderate,creative,2,1
184,15,2,2,medium,moderate,creative,2,1
184,4,3,2,medium,moderate,creative,2,1
185,11,1,2,short,complex,factual,2,2
185,2,2,3,short,complex,factual,2,2
185,10,3,1,short,complex,factual,2,2
186,13,1,2,short,simple,opinion,4,2
186,3,2,4,short,simple,opinion,4,2
186,1,3,5,short,simple,opinion,4,2
187,13,1,5,long,moderate,factual,5,1
187,11,2,5,long,moderate,factual,5,1
187,12,3,5,long,moderate,factual,5,1
188,2,1,2,short,moderate,factual,3,1
188,12,2,3,short,moderate,factual,3,1
188,15,3,2,short,moderate,factual,3,1
189,4,1,5,medium,moderate,opinion,3,2
189,10,2,4,medium,moderate,opinion,3,2
189,6,3,3,medium,moderate,opinion,3,2
190,15,1,4,medium,simple,creative,4,1
190,12,2,4,medium,simple,creative,4,1
190,13,3,5,medium,simple,creative,4,1
191,5,1,5,medium,complex,opinion,3,3
191,13,2,5,medium,complex,opinion,3,3
191,10,3,2,medium,complex,opinion,3,3
192,13,1,3,short,complex,technical,3,2
192,14,2,5,short,complex,technical,3,2
192,8,3,3,short,complex,technical,3,2
193,14,1,5,medium,moderate,creative,4,1
193,12,2,4,medium,moderate,creative,4,1
193,13,3,4,medium,moderate,creative,4,1
194,12,1,3,medium,moderate,creative,3,1
194,6,2,3,medium,moderate,creative,3,1
194,7,3,2,medium,moderate,creative,3,1
195,15,1,5,medium,simple,opinion,5,2
195,7,2,5,medium,simple,opinion,5,2
195,6,3,5,medium,simple,opinion,5,2
196,2,1,2,medium,complex,factual,2,2
196,1,2,1,medium,complex,factual,2,2
196,12,3,3,medium,complex,factual,2,2
197,15,1,5,short,moderate,technical,5,1
197,11,2,4,short,moderate,technical,5,1
197,5,3,5,short,moderate,technical,5,1
198,1,1,2,medium,moderate,technical,2,1
198,3,2,3,medium,moderate,technical,2,1
198,7,3,2,medium,moderate,technical,2,1
199,6,1,3,short,simple,creative,4,1
199,12,2,3,short,simple,creative,4,1
199,3,3,4,short,simple,creative,4,1
200,6,1,2,short,moderate,technical,3,1
200,8,2,3,short,moderate,technical,3,1
200,4,3,2,short,moderate,technical,3,1
201,14,1,4,long,moderate,factual,4,1
201,5,2,3,long,moderate,factual,4,1
201,12,3,4,long,moderate,factual,4,1
202,11,1,4,short,moderate,opinion,5,2
202,2,2,4,short,moderate,opinion,5,2
202,1,3,5,short,moderate,opinion,5,2
203,11,1,3,long,complex,factual,2,2
203,9,2,2,long,complex,factual,2,2
203,14,3,3,long,complex,factual,2,2
204,1,1,4,medium,moderate,technical,4,1
204,8,2,4,medium,moderate,technical,4,1
204,14,3,4,medium,moderate,technical,4,1
205,12,1,5,medium,simple,factual,5,1
205,1,2,4,medium,simple,factual,5,1
205,9,3,5,medium,simple,factual,5,1
206,13,1,1,medium,simple,opinion,2,2
206,12,2,2,medium,simple,opinion,2,2
206,7,3,4,medium,simple,opinion,2,2
207,5,1,3,long,simple,technical,3,1
207,8,2,2,long,simple,technical,3,1
207,7,3,1,long,simple,technical,3,1
208,8,1,4,medium,complex,factual,5,2
208,9,2,5,medium,complex,factual,5,2
208,11,3,5,medium,complex,factual,5,2
209,1,1,5,medium,moderate,opinion,5,2
209,12,2,4,medium,moderate,opinion,5,2
209,10,3,5,medium,moderate,opinion,5,2
210,3,1,5,medium,complex,technical,5,2
210,14,2,5,medium,complex,technical,5,2
210,6,3,3,medium,complex,technical,5,2
211,12,1,2,short,simple,opinion,1,2
211,11,2,2,short,simple,opinion,1,2
211,3,3,2,short,simple,opinion,1,2
212,14,1,2,short,simple,technical,2,1
212,9,2,2,short,simple,technical,2,1
212,15,3,2,short,simple,technical,2,1
213,15,1,1,medium,moderate,technical,1,1
213,14,2,1,medium,moderate,technical,1,1
213,1,3,1,medium,moderate,technical,1,1
214,2,1,2,medium,moderate,technical,2,1
214,6,2,1,medium,moderate,technical,2,1
214,1,3,2,medium,moderate,technical,2,1
215,8,1,5,medium,simple,factual,4,1
215,11,2,3,medium,simple,factual,4,1
215,2,3,5,medium,simple,factual,4,1
216,15,1,3,long,complex,factual,5,2
216,2,2,4,long,complex,factual,5,2
216,7,3,5,long,complex,factual,5,2
217,6,1,2,short,moderate,creative,3,1
217,5,2,2,short,moderate,creative,3,1
217,7,3,3,short,moderate,creative,3,1
218,12,1,3,medium,moderate,factual,4,1
218,1,2,3,medium,moderate,factual,4,1
218,10,3,4,medium,moderate,factual,4,1
219,11,1,2,short,moderate,creative,3,1
219,9,2,4,short,moderate,creative,3,1
