eval_id,rater_1,rater_2,rater_3,response_length,query_complexity,domain,true_quality
74,4,3,3,medium,simple,technical,3
75,1,1,2,medium,moderate,technical,1
76,2,5,4,short,complex,technical,3
77,1,2,1,medium,simple,factual,1
78,3,4,5,medium,moderate,creative,4
79,4,5,5,short,moderate,factual,5
80,5,5,5,medium,moderate,technical,5
81,5,5,5,short,moderate,factual,5
82,5,4,5,medium,simple,factual,5
83,4,5,5,medium,moderate,factual,5
84,5,4,2,short,complex,opinion,4
85,2,1,2,short,complex,factual,2
86,5,5,5,short,moderate,factual,5
87,1,1,2,medium,simple,factual,1
88,3,5,1,medium,complex,factual,2
89,3,2,2,medium,complex,opinion,2
90,1,2,1,medium,moderate,factual,1
91,4,3,4,short,simple,opinion,4
92,1,5,2,medium,moderate,opinion,2
93,1,1,2,medium,simple,technical,2
94,5,5,3,long,complex,technical,5
95,5,5,5,long,moderate,factual,5
96,1,2,2,short,complex,opinion,1
97,3,2,1,medium,complex,factual,2
98,4,4,3,short,moderate,factual,4
99,4,4,5,short,simple,opinion,5
100,3,1,1,short,complex,technical,1
101,1,1,2,short,moderate,technical,1
102,5,5,4,medium,complex,technical,5
103,1,5,5,medium,complex,opinion,3
104,3,3,4,medium,moderate,opinion,2
105,1,1,1,long,moderate,technical,1
106,3,5,4,long,complex,factual,4
107,1,2,1,short,simple,opinion,2
108,4,4,4,short,moderate,creative,4
109,3,1,1,short,simple,opinion,2
110,1,1,1,medium,simple,technical,1
111,5,4,4,short,complex,opinion,5
112,1,3,2,long,moderate,creative,3
113,4,4,3,short,simple,opinion,4
114,4,1,3,medium,complex,creative,2
115,1,1,1,short,moderate,creative,1
116,5,5,5,short,moderate,opinion,5
117,4,1,2,medium,simple,factual,3
118,4,4,5,medium,simple,factual,4
119,5,5,4,short,moderate,creative,5
120,3,4,5,long,simple,technical,4
121,3,3,3,medium,complex,technical,2
122,4,5,5,medium,simple,technical,5
123,2,3,2,short,complex,technical,4
124,4,4,2,short,moderate,creative,4
125,5,4,5,short,simple,technical,4
126,4,3,2,medium,simple,creative,3
127,3,4,4,long,complex,technical,3
128,5,3,5,long,simple,technical,4
129,5,4,5,medium,moderate,factual,5
130,5,4,5,short,moderate,technical,5
131,3,3,2,long,moderate,technical,2
132,2,3,1,short,complex,factual,1
133,4,4,3,short,complex,technical,4
134,2,3,3,long,moderate,creative,3
135,2,1,1,long,moderate,factual,1
136,1,2,2,short,complex,opinion,2
137,5,4,5,long,moderate,opinion,5
138,5,5,4,medium,moderate,creative,5
139,4,4,4,short,moderate,factual,4
140,5,4,4,short,complex,factual,5
141,5,5,5,medium,moderate,creative,5
142,1,1,2,medium,simple,opinion,1
143,5,5,5,medium,moderate,opinion,5
144,1,3,1,short,complex,technical,1
145,5,5,5,short,moderate,factual,4
146,1,1,1,long,moderate,creative,1
147,4,4,4,medium,moderate,technical,4
148,1,2,1,long,moderate,creative,2
149,4,5,5,medium,moderate,opinion,5
150,5,5,5,medium,moderate,factual,5
151,2,1,2,short,simple,creative,1
152,4,4,3,medium,moderate,opinion,4
153,3,3,4,short,simple,technical,3
154,2,3,4,medium,simple,factual,3
155,1,1,1,short,complex,factual,1
156,1,2,3,short,simple,opinion,3
157,5,5,5,medium,moderate,factual,5
158,5,5,4,medium,complex,factual,4
159,1,1,1,medium,simple,factual,1
160,2,2,2,short,moderate,creative,2
161,1,1,1,long,complex,opinion,1
162,5,5,4,short,moderate,creative,4
163,4,5,5,short,moderate,technical,5
164,4,4,3,medium,moderate,creative,4
165,1,3,2,short,moderate,factual,2
166,3,2,2,medium,moderate,technical,2
167,2,1,1,medium,moderate,factual,1
168,2,2,3,medium,moderate,opinion,1
169,5,4,5,medium,complex,technical,5
170,2,1,1,medium,moderate,factual,1
171,1,1,1,short,moderate,factual,1
172,4,2,3,medium,complex,factual,3
173,3,1,2,medium,simple,technical,2
174,1,1,1,medium,simple,opinion,1
175,2,2,3,medium,moderate,factual,2
176,4,3,4,medium,moderate,factual,4
177,3,3,4,long,moderate,factual,3
178,1,2,1,short,simple,factual,1
179,3,5,5,short,moderate,creative,4
180,4,3,5,short,simple,technical,4
181,5,4,2,long,moderate,factual,4
182,3,3,3,long,moderate,creative,3
183,2,1,1,medium,complex,technical,1
184,2,2,2,medium,moderate,creative,2
185,2,3,1,short,complex,factual,2
186,2,4,5,short,simple,opinion,4
187,5,5,5,long,moderate,factual,5
188,2,3,2,short,moderate,factual,3
189,5,4,3,medium,moderate,opinion,3
190,4,4,5,medium,simple,creative,4
191,5,5,2,medium,complex,opinion,3
192,3,5,3,short,complex,technical,3
193,5,4,4,medium,moderate,creative,4
194,3,3,2,medium,moderate,creative,3
195,5,5,5,medium,simple,opinion,5
196,2,1,3,medium,complex,factual,2
197,5,4,5,short,moderate,technical,5
198,2,3,2,medium,moderate,technical,2
199,3,3,4,short,simple,creative,4
200,2,3,2,short,moderate,technical,3
201,4,3,4,long,moderate,factual,4
202,4,4,5,short,moderate,opinion,5
203,3,2,3,long,complex,factual,2
204,4,4,4,medium,moderate,technical,4
205,5,4,5,medium,simple,factual,5
206,1,2,4,medium,simple,opinion,2
207,3,2,1,long,simple,technical,3
208,4,5,5,medium,complex,factual,5
209,5,4,5,medium,moderate,opinion,5
210,5,5,3,medium,complex,technical,5
211,2,2,2,short,simple,opinion,1
212,2,2,2,short,simple,technical,2
213,1,1,1,medium,moderate,technical,1
214,2,1,2,medium,moderate,technical,2
215,5,3,5,medium,simple,factual,4
216,3,4,5,long,complex,factual,5
217,2,2,3,short,moderate,creative,3
218,3,3,4,medium,moderate,factual,4
219,2,4,3,short,moderate,creative,3
220,3,3,2,long,simple,technical,3
221,4,4,4,medium,moderate,factual,4
222,5,5,5,medium,complex,technical,5
223,4,5,4,short,complex,opinion,5
224,4,4,4,long,moderate,factual,4
225,3,4,3,medium,simple,opinion,4
226,3,2,2,long,simple,factual,2
227,1,2,3,medium,complex,creative,1
228,2,2,1,medium,moderate,technical,2
229,2,3,2,medium,simple,technical,2
230,2,2,3,medium,complex,technical,3
231,4,4,4,medium,simple,factual,4
232,3,1,3,medium,moderate,creative,3
233,2,1,1,medium,moderate,opinion,2
234,4,5,5,medium,simple,opinion,4
235,4,4,5,long,simple,factual,4
236,4,5,5,long,complex,creative,5
237,3,5,5,medium,complex,opinion,5
238,5,5,4,long,moderate,technical,5
239,5,5,5,short,complex,creative,5
240,5,5,3,medium,moderate,creative,4
241,1,1,1,medium,simple,factual,1
242,4,5,5,short,moderate,factual,4
243,1,1,1,medium,simple,creative,1
244,2,2,2,medium,simple,factual,2
245,4,5,5,short,moderate,creative,5
246,2,3,3,medium,simple,factual,3
247,2,3,2,medium,complex,factual,3
248,3,3,2,medium,simple,factual,2
249,5,5,5,medium,moderate,technical,5
250,4,1,1,long,simple,opinion,1
251,3,1,1,medium,complex,factual,2
252,3,2,2,medium,simple,factual,3
253,5,4,5,medium,moderate,factual,5
254,4,4,3,short,moderate,creative,4
255,1,1,1,medium,complex,opinion,1
256,4,4,3,short,moderate,technical,4
257,4,5,3,medium,complex,factual,3
258,1,1,2,short,moderate,opinion,1
259,1,1,1,short,moderate,technical,1
260,4,5,5,short,simple,technical,4
261,4,4,3,short,complex,technical,5
262,3,5,3,medium,complex,creative,3
263,2,4,1,medium,complex,technical,3
264,3,2,5,long,moderate,opinion,4
265,2,4,3,short,moderate,technical,3
266,5,1,1,medium,complex,opinion,2
267,3,3,3,long,simple,creative,3
268,1,1,1,medium,complex,factual,1
269,5,5,5,long,simple,technical,5
270,5,5,4,long,moderate,creative,4
271,3,2,1,medium,moderate,factual,2
272,1,1,1,short,complex,technical,1
273,5,4,5,medium,moderate,opinion,5
274,4,3,4,medium,moderate,factual,4
275,3,5,2,long,complex,opinion,4
276,4,1,5,medium,complex,technical,3
277,1,2,3,medium,moderate,technical,2
278,5,2,2,medium,complex,technical,3
279,2,1,1,medium,moderate,opinion,1
280,4,1,5,medium,moderate,opinion,4
281,2,3,4,medium,simple,factual,3
282,2,5,4,medium,moderate,opinion,4
283,3,3,2,medium,moderate,creative,2
284,3,5,5,long,moderate,opinion,5
285,1,1,2,medium,moderate,opinion,1
286,1,1,1,medium,complex,creative,1
287,2,5,1,medium,complex,creative,2
288,4,4,3,medium,complex,creative,4
289,4,3,5,medium,moderate,factual,4
290,1,2,4,medium,complex,technical,3
291,2,3,2,long,moderate,factual,2
292,4,3,2,short,moderate,technical,3
293,1,1,2,medium,moderate,technical,1
294,5,5,5,medium,complex,factual,4
295,3,4,4,medium,simple,factual,4
296,5,4,4,medium,moderate,creative,4
297,2,4,3,short,complex,creative,2
298,1,1,1,short,moderate,factual,1
299,3,4,5,medium,complex,technical,4
300,5,5,5,medium,moderate,technical,5
301,3,4,4,medium,simple,technical,4
302,5,5,5,medium,simple,creative,5
303,1,1,1,medium,moderate,creative,1
304,1,1,1,medium,moderate,technical,1
305,4,1,1,long,moderate,opinion,2
306,5,4,4,long,simple,opinion,4
307,3,1,4,medium,complex,opinion,2
308,4,5,4,medium,simple,creative,5
309,3,4,3,medium,simple,creative,3
310,1,1,1,medium,moderate,creative,1
311,5,5,5,medium,moderate,technical,5
312,3,2,5,long,complex,creative,4
313,5,5,5,medium,moderate,creative,5
314,5,3,4,medium,moderate,creative,4
315,1,2,1,medium,moderate,opinion,1
316,3,1,3,long,moderate,factual,2
317,1,1,2,medium,moderate,factual,1
318,3,2,2,short,complex,technical,4
319,3,2,3,long,simple,factual,2
320,1,1,1,long,complex,creative,1
321,4,5,5,medium,moderate,opinion,5
322,2,1,2,medium,moderate,creative,1
323,2,2,2,medium,simple,factual,2
324,3,3,2,medium,simple,creative,2
325,1,2,1,short,complex,technical,1
326,2,2,2,long,simple,creative,1
327,2,1,1,medium,simple,creative,1
328,4,3,4,long,simple,opinion,4
329,2,5,4,short,simple,opinion,4
330,4,3,4,short,moderate,creative,4
331,4,3,4,long,complex,technical,3
332,4,5,4,medium,moderate,factual,5
333,5,5,4,medium,simple,factual,5
334,2,3,1,medium,simple,technical,2
335,2,2,2,short,complex,factual,2
336,5,5,5,medium,complex,technical,5
337,5,5,5,short,moderate,factual,5
338,2,3,4,medium,moderate,factual,3
339,1,2,1,long,complex,opinion,3
340,5,3,4,medium,complex,technical,4
341,1,2,2,medium,simple,opinion,1
342,1,1,2,medium,moderate,creative,1
343,4,5,5,short,complex,technical,4
344,1,2,2,medium,complex,factual,1
345,2,2,1,medium,moderate,technical,2
346,4,1,1,medium,simple,opinion,2
347,4,4,2,long,moderate,technical,3
348,5,5,4,medium,moderate,creative,5
349,1,1,1,long,complex,technical,1
350,4,3,5,long,complex,factual,5
351,3,3,2,medium,moderate,opinion,4
352,4,3,2,short,complex,creative,3
353,3,3,5,medium,moderate,opinion,4
354,1,1,1,medium,moderate,factual,1
355,5,5,3,short,complex,creative,5
356,3,4,3,medium,moderate,creative,4
357,4,5,5,short,moderate,factual,5
358,3,3,3,long,moderate,opinion,3
359,5,5,5,medium,complex,creative,5
360,5,5,4,medium,moderate,opinion,5
361,3,5,3,short,complex,opinion,3
362,2,3,1,short,simple,technical,2
363,1,2,1,medium,moderate,factual,1
364,5,4,5,long,moderate,factual,5
365,5,5,2,short,simple,technical,4
366,4,4,3,short,moderate,factual,4
367,2,2,1,short,moderate,factual,1
368,5,3,4,long,moderate,factual,3
369,3,2,3,medium,simple,factual,2
370,3,3,4,medium,moderate,creative,3
371,4,5,5,medium,moderate,factual,5
372,2,5,1,medium,complex,technical,3
373,5,5,4,short,moderate,technical,5
374,2,3,2,medium,moderate,technical,3
375,1,2,1,short,moderate,technical,1
376,4,4,3,long,moderate,factual,3
377,5,5,5,medium,moderate,technical,5
378,3,3,4,medium,moderate,technical,3
379,2,2,2,medium,moderate,factual,2
380,4,3,3,long,simple,factual,3
381,5,4,5,short,moderate,opinion,5
382,1,1,1,medium,simple,creative,1
383,3,4,5,medium,moderate,opinion,4
384,5,5,5,medium,moderate,opinion,5
385,1,3,1,short,complex,opinion,1
386,5,4,4,long,moderate,creative,4
387,1,3,1,medium,moderate,opinion,1
388,1,2,4,long,complex,technical,2
389,5,2,3,medium,moderate,technical,3
390,5,5,5,medium,moderate,opinion,4
391,2,2,3,long,moderate,creative,2
392,2,4,3,short,simple,factual,3
393,3,1,2,short,moderate,factual,2
394,5,5,5,medium,complex,opinion,4
395,2,2,2,short,moderate,factual,1
396,1,4,5,medium,complex,opinion,2
397,1,3,2,long,moderate,opinion,2
398,3,2,2,long,moderate,creative,3
399,1,2,2,short,complex,opinion,2
400,1,4,2,medium,moderate,creative,2
401,2,2,3,medium,complex,factual,3
402,5,4,3,short,moderate,factual,4
403,5,5,5,short,complex,technical,5
404,2,1,1,medium,moderate,opinion,1
405,4,2,2,long,moderate,opinion,3
406,4,5,5,medium,moderate,creative,5
407,4,5,4,long,moderate,opinion,5
408,5,2,4,medium,complex,factual,4
409,4,3,3,medium,moderate,creative,3
410,1,2,3,medium,moderate,opinion,1
411,1,2,2,medium,moderate,creative,2
412,3,5,5,short,moderate,technical,4
413,5,5,5,medium,moderate,factual,5
414,3,3,5,short,moderate,technical,3
415,3,3,2,medium,moderate,creative,3
416,4,5,5,medium,moderate,opinion,5
417,4,4,3,medium,complex,opinion,3
418,2,1,2,short,moderate,creative,1
419,2,1,1,medium,moderate,factual,1
420,5,4,4,medium,simple,technical,4
421,4,4,3,medium,moderate,factual,3
422,5,4,4,medium,moderate,technical,4
423,3,1,2,long,simple,creative,2
424,5,5,5,long,simple,opinion,5
425,5,5,5,short,moderate,opinion,5
426,2,2,3,medium,simple,factual,2
427,2,2,2,medium,moderate,creative,2
428,2,1,3,medium,moderate,creative,2
429,5,4,5,short,simple,technical,4
430,2,1,1,short,simple,factual,1
431,5,5,4,short,moderate,technical,5
432,4,5,5,short,simple,creative,5
433,1,1,1,medium,simple,creative,1
434,3,3,2,medium,simple,technical,4
435,3,3,3,long,moderate,factual,3
436,1,3,1,medium,complex,factual,1
437,2,1,3,medium,moderate,opinion,2
438,4,4,4,medium,simple,creative,4
439,5,4,5,medium,moderate,opinion,5
440,2,2,2,medium,moderate,technical,2
441,1,1,1,short,complex,opinion,1
442,5,5,5,long,moderate,creative,5
443,1,1,2,medium,simple,opinion,1
444,1,2,2,long,complex,technical,3
445,2,2,2,medium,moderate,technical,2
446,1,2,1,medium,complex,technical,1
447,5,4,5,medium,complex,creative,5
448,3,4,3,long,simple,technical,3
449,5,5,5,short,complex,factual,5
450,3,2,3,medium,simple,factual,3
451,3,3,4,medium,simple,factual,3
452,5,5,5,medium,complex,opinion,5
453,1,2,2,short,complex,technical,2
454,2,2,1,short,moderate,technical,1
455,1,1,1,medium,moderate,technical,1
456,5,5,5,medium,simple,factual,5
457,3,3,2,medium,moderate,opinion,3
458,2,1,5,short,moderate,opinion,3
459,2,1,1,long,moderate,opinion,1
460,4,4,3,long,moderate,technical,3
461,3,2,1,medium,complex,factual,2
462,1,3,3,medium,complex,technical,2
463,1,1,1,long,moderate,technical,1
464,5,5,5,medium,moderate,technical,5
465,3,2,1,medium,complex,opinion,1
466,4,5,5,short,complex,technical,5
467,1,1,1,medium,moderate,creative,1
468,1,1,1,medium,moderate,factual,1
469,5,5,5,medium,moderate,technical,5
470,2,2,3,long,moderate,opinion,2
471,5,5,5,medium,simple,creative,5
472,1,1,4,medium,moderate,opinion,1
473,5,4,5,long,moderate,technical,4
474,2,1,3,long,simple,creative,2
475,1,1,2,medium,moderate,technical,1
476,2,3,3,medium,moderate,factual,2
477,5,5,4,short,simple,technical,5
478,4,4,4,long,moderate,factual,4
479,2,4,4,medium,complex,technical,3
480,3,3,3,short,simple,opinion,3
481,1,1,1,medium,moderate,opinion,1
482,3,2,2,short,simple,creative,2
483,4,4,1,long,simple,factual,3
484,4,5,3,medium,complex,technical,3
485,5,5,5,long,moderate,technical,5
486,3,2,5,medium,complex,factual,5
487,2,1,1,long,moderate,factual,1
488,1,1,4,medium,simple,opinion,2
489,4,5,5,medium,moderate,factual,5
490,5,4,4,medium,complex,factual,4
491,3,1,3,long,complex,creative,2
492,2,3,4,medium,moderate,opinion,1
493,4,4,3,long,moderate,creative,4
494,4,4,4,medium,moderate,creative,4
495,1,1,2,medium,moderate,creative,1
496,5,5,5,medium,complex,factual,5
497,4,5,4,short,complex,technical,3
498,5,4,3,medium,complex,factual,4
499,2,2,1,medium,moderate,technical,2
500,2,2,2,medium,moderate,opinion,1
501,1,1,2,medium,moderate,factual,1
502,4,2,4,medium,simple,creative,3
503,4,4,4,short,moderate,technical,4
504,4,5,4,long,simple,technical,4
505,2,1,2,medium,moderate,creative,2
506,4,2,4,long,complex,technical,3
507,5,5,5,short,complex,technical,5
508,1,1,1,medium,moderate,opinion,1
509,5,4,4,long,moderate,factual,4
510,1,1,3,medium,moderate,creative,2
511,2,4,4,medium,complex,technical,4
512,5,5,5,short,moderate,creative,5
513,5,4,4,medium,complex,creative,4
514,2,2,2,medium,moderate,technical,2
515,4,3,5,short,simple,factual,4
516,3,3,2,medium,moderate,technical,3
517,3,3,4,medium,complex,technical,3
518,1,1,3,medium,moderate,opinion,2
519,3,5,3,medium,complex,opinion,5
520,1,2,1,short,simple,factual,1
521,1,3,1,long,complex,creative,1
522,5,5,4,long,moderate,factual,5
523,5,4,5,long,moderate,factual,5
524,1,4,1,medium,complex,technical,3
525,2,3,4,short,moderate,creative,3
526,4,4,3,short,moderate,opinion,3
527,5,5,3,medium,complex,technical,5
528,3,4,3,long,complex,technical,3
529,3,2,2,medium,simple,factual,2
530,2,2,2,medium,simple,technical,2
531,2,3,3,long,moderate,factual,2
532,4,4,3,medium,simple,factual,4
533,2,3,2,short,moderate,technical,2
534,3,3,2,short,complex,technical,2
535,5,3,4,medium,moderate,technical,4
536,4,3,4,medium,simple,opinion,3
537,5,4,5,medium,moderate,technical,5
538,2,3,2,short,moderate,creative,2
539,4,5,2,short,complex,creative,3
540,1,1,3,medium,complex,factual,2
541,3,2,1,short,simple,technical,2
542,1,2,2,long,simple,factual,1
543,3,2,1,short,moderate,technical,3
544,4,5,4,medium,moderate,opinion,4
545,5,4,4,short,moderate,factual,4
546,5,5,5,short,simple,factual,5
547,1,1,4,short,moderate,factual,2
548,1,1,2,medium,complex,creative,2
549,5,5,5,medium,simple,factual,5
550,5,4,5,medium,complex,creative,5
551,4,4,4,long,moderate,technical,4
552,1,2,2,medium,simple,opinion,1
553,1,2,3,short,complex,technical,1
554,2,1,1,medium,moderate,factual,1
555,4,3,3,medium,complex,creative,3
556,1,1,2,medium,complex,technical,1
557,1,2,1,long,moderate,opinion,2
558,2,4,1,medium,moderate,technical,3
559,3,2,1,long,moderate,opinion,2
560,1,3,4,short,complex,opinion,3
561,4,5,3,short,moderate,technical,5
562,2,2,4,medium,simple,technical,3
563,2,3,5,medium,simple,factual,4
564,4,5,5,medium,moderate,technical,5
565,5,4,4,medium,moderate,opinion,4
566,2,2,1,medium,complex,opinion,1
567,2,1,2,short,moderate,opinion,2
568,5,3,3,medium,simple,opinion,3
569,3,4,4,short,simple,factual,4
570,1,2,1,short,moderate,technical,2
571,5,4,3,short,moderate,technical,4
572,4,4,3,medium,simple,technical,3
573,1,2,1,long,moderate,creative,1
574,1,2,1,medium,moderate,creative,1
575,2,2,1,medium,complex,factual,1
576,4,4,5,short,complex,technical,4
577,4,3,5,medium,moderate,creative,4
578,3,3,3,medium,moderate,factual,2
579,1,3,1,short,simple,technical,2
580,1,1,1,short,moderate,factual,1
581,2,1,2,medium,complex,creative,2
582,3,3,4,long,moderate,creative,3
583,5,5,5,short,complex,factual,5
584,5,4,5,short,moderate,opinion,5
585,1,1,1,medium,simple,technical,1
586,4,1,1,medium,moderate,opinion,1
587,3,4,3,long,moderate,opinion,4
588,4,4,5,long,moderate,creative,5
589,5,2,5,medium,complex,technical,5
590,4,2,2,short,moderate,creative,3
591,5,4,5,medium,moderate,opinion,5
592,3,3,2,long,simple,opinion,2
593,2,1,2,medium,moderate,technical,2
594,3,3,3,long,moderate,factual,3
595,4,5,3,long,moderate,creative,4
596,3,5,4,medium,complex,technical,4
597,5,5,5,short,complex,technical,5
598,4,2,2,medium,moderate,factual,2
599,5,5,2,medium,moderate,opinion,5
600,2,3,1,medium,complex,creative,2
601,5,4,4,medium,simple,factual,4
602,1,1,1,medium,complex,factual,1
603,3,2,3,short,simple,factual,3
604,4,4,3,medium,moderate,factual,3
605,4,3,5,short,complex,creative,4
606,1,3,1,medium,complex,technical,1
607,1,3,1,short,moderate,opinion,3
608,3,3,2,medium,simple,technical,2
609,4,3,5,medium,moderate,technical,4
610,5,5,4,short,complex,creative,5
611,2,3,3,medium,moderate,technical,3
612,5,4,5,short,moderate,technical,5
613,1,1,1,short,moderate,opinion,1
614,3,1,2,medium,simple,creative,1
615,3,3,1,long,complex,technical,1
616,2,1,1,long,simple,opinion,1
617,3,4,2,medium,simple,technical,3
618,5,5,4,medium,complex,factual,5
619,2,4,2,medium,complex,factual,4
620,1,2,1,medium,simple,factual,1
621,5,5,4,medium,moderate,creative,5
622,2,1,2,short,simple,technical,1
623,3,1,1,medium,simple,opinion,1
624,5,5,5,short,moderate,factual,5
625,2,3,2,medium,simple,opinion,3
626,3,2,3,short,simple,technical,3
627,1,1,3,medium,complex,factual,2
628,1,1,1,medium,moderate,opinion,1
629,4,5,5,short,moderate,technical,5
630,4,5,4,medium,moderate,factual,5
631,3,1,2,medium,moderate,technical,2
632,4,5,5,medium,moderate,factual,5
633,5,5,4,medium,moderate,factual,5
634,2,3,4,medium,moderate,creative,3
635,5,5,5,short,simple,opinion,5
636,3,3,4,short,simple,creative,4
637,1,1,1,medium,moderate,creative,1
638,2,1,1,short,moderate,creative,2
639,5,4,5,long,simple,factual,5
640,4,3,3,short,simple,opinion,4
641,5,5,4,medium,moderate,technical,5
642,4,3,5,medium,complex,technical,3
643,2,3,3,short,moderate,creative,3
644,3,4,4,long,moderate,technical,4
645,4,4,3,short,moderate,factual,3
646,5,3,5,short,moderate,factual,4
647,5,5,5,medium,moderate,opinion,5
648,4,4,5,medium,simple,creative,4
649,4,5,3,long,moderate,technical,4
650,3,2,2,long,moderate,factual,3
651,5,5,3,medium,simple,technical,4
652,5,5,5,long,moderate,factual,5
653,2,1,2,long,moderate,factual,1
654,5,5,5,short,simple,creative,5
655,5,5,5,short,moderate,creative,5
656,2,3,3,medium,complex,creative,2
657,1,1,2,medium,complex,factual,1
658,1,1,2,medium,moderate,technical,2
659,3,4,4,medium,moderate,creative,3
660,3,2,1,medium,simple,creative,2
661,4,3,2,short,moderate,creative,4
662,5,5,5,long,simple,factual,5
663,1,1,1,medium,complex,factual,1
664,1,1,1,long,complex,creative,1
665,3,4,1,medium,moderate,factual,3
666,1,1,1,short,moderate,technical,1
667,1,2,1,short,simple,opinion,2
668,1,2,2,medium,moderate,factual,2
669,5,4,5,long,moderate,factual,4
670,4,2,5,medium,complex,technical,4
671,1,1,3,medium,moderate,factual,2
672,5,3,4,short,moderate,technical,4
673,5,3,3,medium,complex,technical,3
674,3,4,4,medium,moderate,factual,4
675,5,4,4,medium,moderate,technical,4
676,1,1,1,medium,moderate,technical,1
677,2,4,4,medium,simple,opinion,2
678,3,2,3,medium,moderate,technical,3
679,5,4,4,medium,moderate,factual,4
680,2,2,1,medium,simple,creative,2
681,1,1,1,medium,simple,technical,1
682,5,4,5,long,simple,creative,5
683,2,1,4,short,moderate,opinion,1
684,3,3,4,long,moderate,opinion,4
685,1,1,1,medium,moderate,factual,1
686,3,3,3,long,moderate,opinion,2
687,4,4,4,medium,moderate,factual,4
688,3,5,4,medium,moderate,factual,4
689,2,3,2,short,complex,creative,3
690,3,5,5,short,complex,creative,4
691,4,5,5,short,moderate,technical,5
692,4,5,5,medium,moderate,factual,5
693,5,5,4,long,moderate,factual,5
694,5,5,5,long,simple,technical,5
695,3,2,4,medium,moderate,factual,3
696,2,1,2,short,simple,factual,2
697,3,3,1,short,simple,opinion,1
698,2,1,1,long,moderate,technical,1
699,1,2,2,long,simple,technical,2
700,1,1,1,medium,moderate,creative,1
701,4,3,4,short,moderate,technical,3
702,2,1,2,short,moderate,opinion,2
703,4,2,4,medium,complex,technical,4
704,4,3,3,short,moderate,technical,3
705,5,3,5,short,moderate,opinion,4
706,5,2,4,short,complex,opinion,4
707,2,1,2,medium,moderate,technical,2
708,2,3,2,medium,moderate,factual,2
709,2,1,1,medium,complex,opinion,1
710,2,1,1,short,simple,opinion,1
711,4,3,3,long,moderate,opinion,3
712,5,4,5,long,simple,technical,5
713,5,4,3,medium,simple,factual,4
714,1,2,1,short,simple,factual,1
715,1,1,2,short,moderate,technical,1
716,5,5,5,short,moderate,creative,5
717,5,5,5,medium,simple,factual,5
718,3,5,3,medium,moderate,technical,4
719,5,5,5,medium,moderate,opinion,5
720,2,1,1,short,simple,technical,2
721,5,1,2,medium,complex,factual,2
722,4,4,3,short,complex,factual,4
723,5,5,5,medium,complex,creative,5
